"","ID","group","Bin","AvgGrayValue","factorBin"
"1","1603","control","1",73.8395933333333,"1"
"2","1603","control","2",99.8712928571429,"2"
"3","1603","control","3",106.387635714286,"3"
"4","1603","control","4",89.3597133333333,"4"
"5","1604","control","1",50.5451388888889,"1"
"6","1604","control","2",92.8786764705882,"2"
"7","1604","control","3",87.5110294117647,"3"
"8","1604","control","4",50.6979166666667,"4"
"9","1605","control","1",57.0295454545455,"1"
"10","1605","control","2",95.6166666666667,"2"
"11","1605","control","3",92.8880952380952,"3"
"12","1605","control","4",48.5613636363636,"4"
"13","1606","control","1",47.6115285714286,"1"
"14","1606","control","2",87.4761857142857,"2"
"15","1606","control","3",100.205533333333,"3"
"16","1606","control","4",48.6190428571429,"4"
"17","1607","control","1",24.1534045454545,"1"
"18","1607","control","2",50.0056818181818,"2"
"19","1607","control","3",51.1931818181818,"3"
"20","1607","control","4",25.8162909090909,"4"
"21","1608","control","1",46.6731074074074,"1"
"22","1608","control","2",92.7584555555556,"2"
"23","1608","control","3",86.8293037037037,"3"
"24","1608","control","4",44.6312444444444,"4"
"25","1609","control","1",47.5701708333333,"1"
"26","1609","control","2",92.712725,"2"
"27","1609","control","3",99.9166791666667,"3"
"28","1609","control","4",49.48465,"4"
"29","1610","control","1",42.1830055555556,"1"
"30","1610","control","2",74.0620777777778,"2"
"31","1610","control","3",69.2418222222222,"3"
"32","1610","control","4",36.6731944444444,"4"
"33","1611","control","1",40.5785714285714,"1"
"34","1611","control","2",83.5619047619048,"2"
"35","1611","control","3",94.6452380952381,"3"
"36","1611","control","4",48.9047619047619,"4"
"37","1613","control","1",46.1599866666667,"1"
"38","1613","control","2",93.4000066666667,"2"
"39","1613","control","3",94.5911133333333,"3"
"40","1613","control","4",50.3777733333333,"4"
"41","1614","control","1",54.6978260869565,"1"
"42","1614","control","2",98.0409090909091,"2"
"43","1614","control","3",97.6318181818182,"3"
"44","1614","control","4",56.7434782608696,"4"
"45","1615","control","1",51.4542470588235,"1"
"46","1615","control","2",87.2516235294118,"2"
"47","1615","control","3",78.4509823529412,"3"
"48","1615","control","4",48.1666705882353,"4"
"49","1616","control","1",57.489847826087,"1"
"50","1616","control","2",99.6434782608696,"2"
"51","1616","control","3",100.736230434783,"3"
"52","1616","control","4",54.9999913043478,"4"
"53","1617","control","1",41.653675862069,"1"
"54","1617","control","2",88.2298071428571,"2"
"55","1617","control","3",83.405275,"3"
"56","1617","control","4",36.1004482758621,"4"
"57","1618","control","1",46.5395173913044,"1"
"58","1618","control","2",91.3162130434783,"2"
"59","1618","control","3",97.5849869565217,"3"
"60","1618","control","4",52.8300434782609,"4"
"61","1619","control","1",51.1990913043478,"1"
"62","1619","control","2",101.803213043478,"2"
"63","1619","control","3",98.5995347826087,"3"
"64","1619","control","4",52.6384391304348,"4"
"65","1620","control","1",53.00865,"1"
"66","1620","control","2",92.0793619047619,"2"
"67","1620","control","3",102.090704761905,"3"
"68","1620","control","4",63.0389681818182,"4"
"69","1621","control","1",33.9323357142857,"1"
"70","1621","control","2",62.8616,"2"
"71","1621","control","3",56.1150111111111,"3"
"72","1621","control","4",32.0845857142857,"4"
"73","1622","control","1",63.9412923076923,"1"
"74","1622","control","2",97.5546615384615,"2"
"75","1622","control","3",86.3562846153846,"3"
"76","1622","control","4",47.3360307692308,"4"
"77","1623","control","1",21.3392857142857,"1"
"78","1623","control","2",57.9613095238095,"2"
"79","1623","control","3",61.6428571428571,"3"
"80","1623","control","4",38.9315476190476,"4"
"81","1624","control","1",37.9543789473684,"1"
"82","1624","control","2",73.9592555555556,"2"
"83","1624","control","3",79.7666666666667,"3"
"84","1624","control","4",27.8210578947368,"4"
"85","1625","control","1",37.770005,"1"
"86","1625","control","2",72.7964894736842,"2"
"87","1625","control","3",72.5894684210526,"3"
"88","1625","control","4",44.91332,"4"
"89","1626","control","1",53.1203722222222,"1"
"90","1626","control","2",86.5833352941176,"2"
"91","1626","control","3",98.2254882352941,"3"
"92","1626","control","4",45.7083388888889,"4"
"93","1627","control","1",72.1059782608696,"1"
"94","1627","control","2",103.98097826087,"2"
"95","1627","control","3",97.7880434782609,"3"
"96","1627","control","4",72.6766304347826,"4"
"97","1628","control","1",29.44632,"1"
"98","1628","control","2",69.3464875,"2"
"99","1628","control","3",63.0438541666667,"3"
"100","1628","control","4",31.437892,"4"
"101","1630","treatment","1",48.4786384615385,"1"
"102","1630","treatment","2",86.5213692307692,"2"
"103","1630","treatment","3",77.6132346153846,"3"
"104","1630","treatment","4",40.0106846153846,"4"
"105","1631","treatment","1",37.8373,"1"
"106","1631","treatment","2",91.11667,"2"
"107","1631","treatment","3",95.42083,"3"
"108","1631","treatment","4",41.011919047619,"4"
"109","1633","treatment","1",39.8833333333333,"1"
"110","1633","treatment","2",68.3861111111111,"2"
"111","1633","treatment","3",73.1555555555556,"3"
"112","1633","treatment","4",50.3611111111111,"4"
"113","1634","treatment","1",35.5769277777778,"1"
"114","1634","treatment","2",51.4117647058824,"2"
"115","1634","treatment","3",53.5520411764706,"3"
"116","1634","treatment","4",36.9359,"4"
"117","1635","treatment","1",37.79375,"1"
"118","1635","treatment","2",57.846875,"2"
"119","1635","treatment","3",66.303125,"3"
"120","1635","treatment","4",43.809375,"4"
"121","1636","treatment","1",64.2695666666667,"1"
"122","1636","treatment","2",101.779492857143,"2"
"123","1636","treatment","3",83.0900642857143,"3"
"124","1636","treatment","4",54.88116,"4"
"125","1637","treatment","1",39.09134375,"1"
"126","1637","treatment","2",63.5384666666667,"2"
"127","1637","treatment","3",76.1281933333333,"3"
"128","1637","treatment","4",44.57691875,"4"
"129","1638","treatment","1",40.1368368421053,"1"
"130","1638","treatment","2",76.1964947368421,"2"
"131","1638","treatment","3",85.7122789473684,"3"
"132","1638","treatment","4",52.0561368421053,"4"
"133","1639","treatment","1",75.2941176470588,"1"
"134","1639","treatment","2",116.51875,"2"
"135","1639","treatment","3",111.59375,"3"
"136","1639","treatment","4",77.9235294117647,"4"
"137","1642","treatment","1",48.7318782608696,"1"
"138","1642","treatment","2",83.7367043478261,"2"
"139","1642","treatment","3",91.3333217391304,"3"
"140","1642","treatment","4",45.8719782608696,"4"
"141","1643","treatment","1",41.2658777777778,"1"
"142","1643","treatment","2",76,"2"
"143","1643","treatment","3",81.4621705882353,"3"
"144","1643","treatment","4",50.8889,"4"
"145","1644","treatment","1",41.7244333333333,"1"
"146","1644","treatment","2",68.5199933333333,"2"
"147","1644","treatment","3",65.6177666666667,"3"
"148","1644","treatment","4",37.46222,"4"
"149","1645","treatment","1",45.9418181818182,"1"
"150","1645","treatment","2",86.0145454545455,"2"
"151","1645","treatment","3",83.9818181818182,"3"
"152","1645","treatment","4",41.2636363636364,"4"
"153","1646","treatment","1",54.0883863636364,"1"
"154","1646","treatment","2",94.2045545454545,"2"
"155","1646","treatment","3",95.3232272727273,"3"
"156","1646","treatment","4",45.3333272727273,"4"
