Plate_Num,Plant_Num,Treatment,Length,Number
1,1,Control,0-1 cm,0
1,1,Control,1-2 cm,0
1,1,Control,2-3 cm,0
1,1,Control,3-4 cm,6
1,1,Control,4-5 cm,6
1,2,Control,0-1 cm,0
1,2,Control,1-2 cm,0
1,2,Control,2-3 cm,2
1,2,Control,3-4 cm,NA
1,2,Control,4-5 cm,NA
1,3,Control,0-1 cm,0
1,3,Control,1-2 cm,0
1,3,Control,2-3 cm,0
1,3,Control,3-4 cm,NA
1,3,Control,4-5 cm,NA
1,4,Control,0-1 cm,0
1,4,Control,1-2 cm,0
1,4,Control,2-3 cm,0
1,4,Control,3-4 cm,NA
1,4,Control,4-5 cm,NA
1,5,Control,0-1 cm,0
1,5,Control,1-2 cm,0
1,5,Control,2-3 cm,0
1,5,Control,3-4 cm,16
1,5,Control,4-5 cm,NA
1,6,Control,0-1 cm,0
1,6,Control,1-2 cm,0
1,6,Control,2-3 cm,0
1,6,Control,3-4 cm,7
1,6,Control,4-5 cm,0
1,7,Control,0-1 cm,0
1,7,Control,1-2 cm,0
1,7,Control,2-3 cm,0
1,7,Control,3-4 cm,0
1,7,Control,4-5 cm,6
1,8,Control,0-1 cm,0
1,8,Control,1-2 cm,0
1,8,Control,2-3 cm,0
1,8,Control,3-4 cm,NA
1,8,Control,4-5 cm,NA
2,9,Control,0-1 cm,0
2,9,Control,1-2 cm,5
2,9,Control,2-3 cm,0
2,9,Control,3-4 cm,0
2,9,Control,4-5 cm,0
2,10,Control,0-1 cm,0
2,10,Control,1-2 cm,2
2,10,Control,2-3 cm,10
2,10,Control,3-4 cm,1
2,10,Control,4-5 cm,0
2,11,Control,0-1 cm,1
2,11,Control,1-2 cm,0
2,11,Control,2-3 cm,1
2,11,Control,3-4 cm,0
2,11,Control,4-5 cm,0
2,12,Control,0-1 cm,1
2,12,Control,1-2 cm,0
2,12,Control,2-3 cm,1
2,12,Control,3-4 cm,0
2,12,Control,4-5 cm,0
2,13,Control,0-1 cm,4
2,13,Control,1-2 cm,4
2,13,Control,2-3 cm,0
2,13,Control,3-4 cm,0
2,13,Control,4-5 cm,0
2,14,Control,0-1 cm,1
2,14,Control,1-2 cm,3
2,14,Control,2-3 cm,7
2,14,Control,3-4 cm,0
2,14,Control,4-5 cm,10
2,15,Control,0-1 cm,90
2,15,Control,1-2 cm,0
2,15,Control,2-3 cm,0
2,15,Control,3-4 cm,0
2,15,Control,4-5 cm,0
2,16,Control,0-1 cm,33
2,16,Control,1-2 cm,0
2,16,Control,2-3 cm,0
2,16,Control,3-4 cm,0
2,16,Control,4-5 cm,0
3,17,Control,0-1 cm,0
3,17,Control,1-2 cm,0
3,17,Control,2-3 cm,0
3,17,Control,3-4 cm,0
3,17,Control,4-5 cm,3
3,18,Control,0-1 cm,0
3,18,Control,1-2 cm,0
3,18,Control,2-3 cm,0
3,18,Control,3-4 cm,NA
3,18,Control,4-5 cm,NA
3,19,Control,0-1 cm,43
3,19,Control,1-2 cm,NA
3,19,Control,2-3 cm,NA
3,19,Control,3-4 cm,NA
3,19,Control,4-5 cm,NA
3,20,Control,0-1 cm,0
3,20,Control,1-2 cm,0
3,20,Control,2-3 cm,0
3,20,Control,3-4 cm,NA
3,20,Control,4-5 cm,NA
3,21,Control,0-1 cm,0
3,21,Control,1-2 cm,6
3,21,Control,2-3 cm,5
3,21,Control,3-4 cm,12
3,21,Control,4-5 cm,0
3,22,Control,0-1 cm,0
3,22,Control,1-2 cm,0
3,22,Control,2-3 cm,0
3,22,Control,3-4 cm,NA
3,22,Control,4-5 cm,NA
3,23,Control,0-1 cm,12
3,23,Control,1-2 cm,3
3,23,Control,2-3 cm,3
3,23,Control,3-4 cm,27
3,23,Control,4-5 cm,0
3,24,Control,0-1 cm,0
3,24,Control,1-2 cm,0
3,24,Control,2-3 cm,0
3,24,Control,3-4 cm,25
3,24,Control,4-5 cm,10
4,25,Control,0-1 cm,NA
4,25,Control,1-2 cm,NA
4,25,Control,2-3 cm,NA
4,25,Control,3-4 cm,NA
4,25,Control,4-5 cm,NA
4,26,Control,0-1 cm,NA
4,26,Control,1-2 cm,NA
4,26,Control,2-3 cm,NA
4,26,Control,3-4 cm,NA
4,26,Control,4-5 cm,NA
4,27,Control,0-1 cm,27
4,27,Control,1-2 cm,4
4,27,Control,2-3 cm,0
4,27,Control,3-4 cm,3
4,27,Control,4-5 cm,2
4,28,Control,0-1 cm,11
4,28,Control,1-2 cm,2
4,28,Control,2-3 cm,3
4,28,Control,3-4 cm,4
4,28,Control,4-5 cm,1
4,29,Control,0-1 cm,NA
4,29,Control,1-2 cm,NA
4,29,Control,2-3 cm,NA
4,29,Control,3-4 cm,NA
4,29,Control,4-5 cm,NA
4,30,Control,0-1 cm,15
4,30,Control,1-2 cm,0
4,30,Control,2-3 cm,0
4,30,Control,3-4 cm,3
4,30,Control,4-5 cm,0
4,31,Control,0-1 cm,NA
4,31,Control,1-2 cm,NA
4,31,Control,2-3 cm,NA
4,31,Control,3-4 cm,NA
4,31,Control,4-5 cm,NA
4,32,Control,0-1 cm,7
4,32,Control,1-2 cm,0
4,32,Control,2-3 cm,0
4,32,Control,3-4 cm,NA
4,32,Control,4-5 cm,NA
1,1,Inoculated,0-1 cm,158
1,1,Inoculated,1-2 cm,84
1,1,Inoculated,2-3 cm,74
1,1,Inoculated,3-4 cm,94
1,1,Inoculated,4-5 cm,60
1,2,Inoculated,0-1 cm,260
1,2,Inoculated,1-2 cm,250
1,2,Inoculated,2-3 cm,264
1,2,Inoculated,3-4 cm,74
1,2,Inoculated,4-5 cm,98
1,3,Inoculated,0-1 cm,NA
1,3,Inoculated,1-2 cm,NA
1,3,Inoculated,2-3 cm,NA
1,3,Inoculated,3-4 cm,NA
1,3,Inoculated,4-5 cm,NA
1,4,Inoculated,0-1 cm,102
1,4,Inoculated,1-2 cm,88
1,4,Inoculated,2-3 cm,72
1,4,Inoculated,3-4 cm,80
1,4,Inoculated,4-5 cm,54
1,5,Inoculated,0-1 cm,100
1,5,Inoculated,1-2 cm,74
1,5,Inoculated,2-3 cm,96
1,5,Inoculated,3-4 cm,46
1,5,Inoculated,4-5 cm,36
1,6,Inoculated,0-1 cm,68
1,6,Inoculated,1-2 cm,88
1,6,Inoculated,2-3 cm,38
1,6,Inoculated,3-4 cm,66
1,6,Inoculated,4-5 cm,12
1,7,Inoculated,0-1 cm,74
1,7,Inoculated,1-2 cm,90
1,7,Inoculated,2-3 cm,39
1,7,Inoculated,3-4 cm,58
1,7,Inoculated,4-5 cm,38
1,8,Inoculated,0-1 cm,110
1,8,Inoculated,1-2 cm,64
1,8,Inoculated,2-3 cm,64
1,8,Inoculated,3-4 cm,60
1,8,Inoculated,4-5 cm,48
2,9,Inoculated,0-1 cm,148
2,9,Inoculated,1-2 cm,144
2,9,Inoculated,2-3 cm,56
2,9,Inoculated,3-4 cm,12
2,9,Inoculated,4-5 cm,126
2,10,Inoculated,0-1 cm,NA
2,10,Inoculated,1-2 cm,NA
2,10,Inoculated,2-3 cm,NA
2,10,Inoculated,3-4 cm,NA
2,10,Inoculated,4-5 cm,NA
2,11,Inoculated,0-1 cm,138
2,11,Inoculated,1-2 cm,122
2,11,Inoculated,2-3 cm,148
2,11,Inoculated,3-4 cm,86
2,11,Inoculated,4-5 cm,64
2,12,Inoculated,0-1 cm,NA
2,12,Inoculated,1-2 cm,NA
2,12,Inoculated,2-3 cm,NA
2,12,Inoculated,3-4 cm,NA
2,12,Inoculated,4-5 cm,NA
2,13,Inoculated,0-1 cm,84
2,13,Inoculated,1-2 cm,122
2,13,Inoculated,2-3 cm,124
2,13,Inoculated,3-4 cm,96
2,13,Inoculated,4-5 cm,68
2,14,Inoculated,0-1 cm,118
2,14,Inoculated,1-2 cm,54
2,14,Inoculated,2-3 cm,14
2,14,Inoculated,3-4 cm,68
2,14,Inoculated,4-5 cm,54
2,15,Inoculated,0-1 cm,80
2,15,Inoculated,1-2 cm,28
2,15,Inoculated,2-3 cm,0
2,15,Inoculated,3-4 cm,NA
2,15,Inoculated,4-5 cm,NA
2,16,Inoculated,0-1 cm,NA
2,16,Inoculated,1-2 cm,NA
2,16,Inoculated,2-3 cm,NA
2,16,Inoculated,3-4 cm,NA
2,16,Inoculated,4-5 cm,NA
3,17,Inoculated,0-1 cm,NA
3,17,Inoculated,1-2 cm,NA
3,17,Inoculated,2-3 cm,NA
3,17,Inoculated,3-4 cm,NA
3,17,Inoculated,4-5 cm,NA
3,18,Inoculated,0-1 cm,140
3,18,Inoculated,1-2 cm,92
3,18,Inoculated,2-3 cm,62
3,18,Inoculated,3-4 cm,148
3,18,Inoculated,4-5 cm,74
3,19,Inoculated,0-1 cm,78
3,19,Inoculated,1-2 cm,22
3,19,Inoculated,2-3 cm,0
3,19,Inoculated,3-4 cm,NA
3,19,Inoculated,4-5 cm,NA
3,20,Inoculated,0-1 cm,134
3,20,Inoculated,1-2 cm,138
3,20,Inoculated,2-3 cm,76
3,20,Inoculated,3-4 cm,150
3,20,Inoculated,4-5 cm,82
3,21,Inoculated,0-1 cm,142
3,21,Inoculated,1-2 cm,142
3,21,Inoculated,2-3 cm,122
3,21,Inoculated,3-4 cm,100
3,21,Inoculated,4-5 cm,66
3,22,Inoculated,0-1 cm,192
3,22,Inoculated,1-2 cm,220
3,22,Inoculated,2-3 cm,18
3,22,Inoculated,3-4 cm,116
3,22,Inoculated,4-5 cm,0
3,23,Inoculated,0-1 cm,NA
3,23,Inoculated,1-2 cm,NA
3,23,Inoculated,2-3 cm,NA
3,23,Inoculated,3-4 cm,NA
3,23,Inoculated,4-5 cm,NA
3,24,Inoculated,0-1 cm,92
3,24,Inoculated,1-2 cm,18
3,24,Inoculated,2-3 cm,0
3,24,Inoculated,3-4 cm,NA
3,24,Inoculated,4-5 cm,NA
4,25,Inoculated,0-1 cm,280
4,25,Inoculated,1-2 cm,300
4,25,Inoculated,2-3 cm,NA
4,25,Inoculated,3-4 cm,4
4,25,Inoculated,4-5 cm,NA
4,26,Inoculated,0-1 cm,135
4,26,Inoculated,1-2 cm,190
4,26,Inoculated,2-3 cm,79
4,26,Inoculated,3-4 cm,130
4,26,Inoculated,4-5 cm,108
4,27,Inoculated,0-1 cm,120
4,27,Inoculated,1-2 cm,140
4,27,Inoculated,2-3 cm,114
4,27,Inoculated,3-4 cm,108
4,27,Inoculated,4-5 cm,110
4,28,Inoculated,0-1 cm,NA
4,28,Inoculated,1-2 cm,NA
4,28,Inoculated,2-3 cm,NA
4,28,Inoculated,3-4 cm,NA
4,28,Inoculated,4-5 cm,NA
4,29,Inoculated,0-1 cm,80
4,29,Inoculated,1-2 cm,68
4,29,Inoculated,2-3 cm,6
4,29,Inoculated,3-4 cm,96
4,29,Inoculated,4-5 cm,9
4,30,Inoculated,0-1 cm,144
4,30,Inoculated,1-2 cm,118
4,30,Inoculated,2-3 cm,62
4,30,Inoculated,3-4 cm,76
4,30,Inoculated,4-5 cm,98
4,31,Inoculated,0-1 cm,NA
4,31,Inoculated,1-2 cm,NA
4,31,Inoculated,2-3 cm,NA
4,31,Inoculated,3-4 cm,NA
4,31,Inoculated,4-5 cm,NA
4,32,Inoculated,0-1 cm,112
4,32,Inoculated,1-2 cm,74
4,32,Inoculated,2-3 cm,40
4,32,Inoculated,3-4 cm,68
4,32,Inoculated,4-5 cm,38
