Treatment,identity,time,difference 
1 RPM/1 RPM,1,0,0
1 RPM/1 RPM,1,1,-1.05
1 RPM/1 RPM,1,2,-8.15
1 RPM/1 RPM,1,3,-9.49
1 RPM/1 RPM,1,4,-18.64
1 RPM/1 RPM,1,5,-27.52
1 RPM/1 RPM,1,6,-29.06
1 RPM/1 RPM,1,7,-31.8
1 RPM/1 RPM,1,8,-34.52
1 RPM/1 RPM,1,9,-38.05
1 RPM/1 RPM,2,0,0
1 RPM/1 RPM,2,1,-5.52
1 RPM/1 RPM,2,2,-15.68
1 RPM/1 RPM,2,3,-29.46
1 RPM/1 RPM,2,4,-46.45
1 RPM/1 RPM,2,5,-68
1 RPM/1 RPM,2,6,-73.25
1 RPM/1 RPM,2,7,-80.67
1 RPM/1 RPM,2,8,-79.9
1 RPM/1 RPM,2,9,-78.28
1 RPM/1 RPM,3,0,0
1 RPM/1 RPM,3,1,-1.79
1 RPM/1 RPM,3,2,-12.32
1 RPM/1 RPM,3,3,-27
1 RPM/1 RPM,3,4,-42.29
1 RPM/1 RPM,3,5,-56.77
1 RPM/1 RPM,3,6,-63.75
1 RPM/1 RPM,3,7,-68.81
1 RPM/1 RPM,3,8,-68.39
1 RPM/1 RPM,3,9,-69.4
1 RPM/1 RPM,4,0,0
1 RPM/1 RPM,4,1,1.94
1 RPM/1 RPM,4,2,-7.57
1 RPM/1 RPM,4,3,-13.31
1 RPM/1 RPM,4,4,-22.41
1 RPM/1 RPM,4,5,-29.02
1 RPM/1 RPM,4,6,-37.15
1 RPM/1 RPM,4,7,-31.14
1 RPM/1 RPM,4,8,-38.48
1 RPM/1 RPM,4,9,-37.15
1 RPM/1 RPM,5,0,0
1 RPM/1 RPM,5,1,-11.89
1 RPM/1 RPM,5,2,-35.85
1 RPM/1 RPM,5,3,-51.36
1 RPM/1 RPM,5,4,-62.08
1 RPM/1 RPM,5,5,-67.07
1 RPM/1 RPM,5,6,-67.51
1 RPM/1 RPM,5,7,-68.78
1 RPM/1 RPM,5,8,-75.32
1 RPM/1 RPM,5,9,-74.13
1 RPM/1 RPM,6,0,0
1 RPM/1 RPM,6,1,0
1 RPM/1 RPM,6,2,-8.49
1 RPM/1 RPM,6,3,-5.85
1 RPM/1 RPM,6,4,-12.66
1 RPM/1 RPM,6,5,-29.05
1 RPM/1 RPM,6,6,-32.06
1 RPM/1 RPM,6,7,-29.05
1 RPM/1 RPM,6,8,-29.05
1 RPM/1 RPM,6,9,-31.91
1 RPM/1 RPM,7,0,0
1 RPM/1 RPM,7,1,-8.13
1 RPM/1 RPM,7,2,-38.66
1 RPM/1 RPM,7,3,-49.4
1 RPM/1 RPM,7,4,-64.98
1 RPM/1 RPM,7,5,-79.99
1 RPM/1 RPM,7,6,-93.58
1 RPM/1 RPM,7,7,-93.58
1 RPM/1 RPM,7,8,-93.58
1 RPM/1 RPM,7,9,-86.99
1 RPM/1 RPM,8,0,0
1 RPM/1 RPM,8,1,-25.77
1 RPM/1 RPM,8,2,-40.87
1 RPM/1 RPM,8,3,-36.41
1 RPM/1 RPM,8,4,-42.69
1 RPM/1 RPM,8,5,-41.81
1 RPM/1 RPM,8,6,-33.45
1 RPM/1 RPM,8,7,-32.3
1 RPM/1 RPM,8,8,-21.33
1 RPM/1 RPM,8,9,-22.83
1 RPM/1 RPM,9,0,0
1 RPM/1 RPM,9,1,-12.18
1 RPM/1 RPM,9,2,-18.1
1 RPM/1 RPM,9,3,-26.41
1 RPM/1 RPM,9,4,-34.22
1 RPM/1 RPM,9,5,-31.28
1 RPM/1 RPM,9,6,-35.75
1 RPM/1 RPM,9,7,-38.97
1 RPM/1 RPM,9,8,-42.87
1 RPM/1 RPM,9,9,-48.19
1 RPM/1 RPM,10,0,0
1 RPM/1 RPM,10,1,-6.41
1 RPM/1 RPM,10,2,-28.6
1 RPM/1 RPM,10,3,-31.61
1 RPM/1 RPM,10,4,-39.74
1 RPM/1 RPM,10,5,-56.39
1 RPM/1 RPM,10,6,-58.18
1 RPM/1 RPM,10,7,-62.57
1 RPM/1 RPM,10,8,-63.22
1 RPM/1 RPM,10,9,-61.87
Control,1,0,0
Control,1,1,-1.74
Control,1,2,-0.21
Control,1,3,8.88
Control,1,4,13.28
Control,1,5,14.79
Control,1,6,17.97
Control,1,7,11.27
Control,1,8,13.02
Control,1,9,15.72
Control,2,0,0
Control,2,1,6.07
Control,2,2,15.52
Control,2,3,19.36
Control,2,4,8.13
Control,2,5,4.4
Control,2,6,-1.27
Control,2,7,-1.47
Control,2,8,-5.44
Control,2,9,-5.19
Control,3,0,0
Control,3,1,-5.67
Control,3,2,-2.56
Control,3,3,10.63
Control,3,4,19.85
Control,3,5,22.39
Control,3,6,22.51
Control,3,7,22.11
Control,3,8,21.48
Control,3,9,18.44
Control,4,0,0
Control,4,1,-0.1
Control,4,2,-1.03
Control,4,3,10.54
Control,4,4,17.88
Control,4,5,19.51
Control,4,6,21.25
Control,4,7,27.42
Control,4,8,22.52
Control,4,9,12.83
Control,5,0,0
Control,5,1,-12.44
Control,5,2,-17.96
Control,5,3,-32.38
Control,5,4,-33.32
Control,5,5,-37.25
Control,5,6,-37.36
Control,5,7,-36.1
Control,5,8,-26.28
Control,5,9,-10.95
Control,6,0,0
Control,6,1,6.29
Control,6,2,9.91
Control,6,3,2.79
Control,6,4,-8.06
Control,6,5,-13.34
Control,6,6,-16.23
Control,6,7,-1.72
Control,6,8,5.77
Control,6,9,7.47
Control,7,0,0
Control,7,1,2.94
Control,7,2,6.52
Control,7,3,16.64
Control,7,4,15.98
Control,7,5,22.47
Control,7,6,18.15
Control,7,7,17.06
Control,7,8,31.3
Control,7,9,28.32
Control,8,0,0
Control,8,1,3.41
Control,8,2,3.84
Control,8,3,4.34
Control,8,4,4.34
Control,8,5,3.1
Control,8,6,2.54
Control,8,7,2.8
Control,8,8,2.66
Control,8,9,-3.84
Control,9,0,0
Control,9,1,16.45
Control,9,2,14.8
Control,9,3,18.98
Control,9,4,22.33
Control,9,5,26.57
Control,9,6,29.06
Control,9,7,30.66
Control,9,8,33.15
Control,9,9,35.73
Control,10,0,0
Control,10,1,1.56
Control,10,2,6.04
Control,10,3,6.83
Control,10,4,8.22
Control,10,5,12.55
Control,10,6,19.87
Control,10,7,22.41
Control,10,8,18.66
Control,10,9,20.31
Control,11,0,0
Control,11,1,-12.67
Control,11,2,-21.01
Control,11,3,-17.43
Control,11,4,-1.09
Control,11,5,10.12
Control,11,6,6.41
Control,11,7,25.63
Control,11,8,24.46
Control,11,9,29.8
Control,12,0,0
Control,12,1,3.57
Control,12,2,3.39
Control,12,3,2.52
Control,12,4,5.78
Control,12,5,2.52
Control,12,6,3.84
Control,12,7,5.25
Control,12,8,5.25
Control,12,9,6.38
Control,13,0,0
Control,13,1,0.86
Control,13,2,-0.13
Control,13,3,-1.04
Control,13,4,-5.81
Control,13,5,-5.06
Control,13,6,-2.32
Control,13,7,-3.92
Control,13,8,-2.53
Control,13,9,0.09
1.5 RPM/3.83 RPM,1,0,0
1.5 RPM/3.83 RPM,1,1,8.36
1.5 RPM/3.83 RPM,1,2,8.36
1.5 RPM/3.83 RPM,1,3,3.72
1.5 RPM/3.83 RPM,1,4,1.87
1.5 RPM/3.83 RPM,1,5,-4.86
1.5 RPM/3.83 RPM,1,6,-7.59
1.5 RPM/3.83 RPM,1,7,-3.02
1.5 RPM/3.83 RPM,1,8,-10.19
1.5 RPM/3.83 RPM,1,9,-10.45
1.5 RPM/3.83 RPM,2,0,0
1.5 RPM/3.83 RPM,2,1,-10.88
1.5 RPM/3.83 RPM,2,2,-12.97
1.5 RPM/3.83 RPM,2,3,-18.32
1.5 RPM/3.83 RPM,2,4,-24.87
1.5 RPM/3.83 RPM,2,5,-32.12
1.5 RPM/3.83 RPM,2,6,-47.21
1.5 RPM/3.83 RPM,2,7,-50.86
1.5 RPM/3.83 RPM,2,8,-42.06
1.5 RPM/3.83 RPM,2,9,-44.02
1.5 RPM/3.83 RPM,3,0,0
1.5 RPM/3.83 RPM,3,1,5.32
1.5 RPM/3.83 RPM,3,2,7.8
1.5 RPM/3.83 RPM,3,3,15.28
1.5 RPM/3.83 RPM,3,4,16.8
1.5 RPM/3.83 RPM,3,5,19.35
1.5 RPM/3.83 RPM,3,6,18.56
1.5 RPM/3.83 RPM,3,7,22.35
1.5 RPM/3.83 RPM,3,8,22.42
1.5 RPM/3.83 RPM,3,9,20.74
1.5 RPM/3.83 RPM,4,0,0
1.5 RPM/3.83 RPM,4,1,1.45
1.5 RPM/3.83 RPM,4,2,7.52
1.5 RPM/3.83 RPM,4,3,11.22
1.5 RPM/3.83 RPM,4,4,16.19
1.5 RPM/3.83 RPM,4,5,20.37
1.5 RPM/3.83 RPM,4,6,16.19
1.5 RPM/3.83 RPM,4,7,21.63
1.5 RPM/3.83 RPM,4,8,16.19
1.5 RPM/3.83 RPM,4,9,19.05
1.5 RPM/3.83 RPM,5,0,0
1.5 RPM/3.83 RPM,5,1,-9.18
1.5 RPM/3.83 RPM,5,2,-10.3
1.5 RPM/3.83 RPM,5,3,-8.49
1.5 RPM/3.83 RPM,5,4,6.51
1.5 RPM/3.83 RPM,5,5,13.14
1.5 RPM/3.83 RPM,5,6,15.26
1.5 RPM/3.83 RPM,5,7,17.55
1.5 RPM/3.83 RPM,5,8,15.26
1.5 RPM/3.83 RPM,5,9,15.26
1.5 RPM/3.83 RPM,6,0,0
1.5 RPM/3.83 RPM,6,1,-10.23
1.5 RPM/3.83 RPM,6,2,-31.69
1.5 RPM/3.83 RPM,6,3,-48.33
1.5 RPM/3.83 RPM,6,4,-58.92
1.5 RPM/3.83 RPM,6,5,-64.61
1.5 RPM/3.83 RPM,6,6,-70.73
1.5 RPM/3.83 RPM,6,7,-72.95
1.5 RPM/3.83 RPM,6,8,-74.46
1.5 RPM/3.83 RPM,6,9,-75.68
1.5 RPM/3.83 RPM,7,0,0
1.5 RPM/3.83 RPM,7,1,8.13
1.5 RPM/3.83 RPM,7,2,9.77
1.5 RPM/3.83 RPM,7,3,29.93
1.5 RPM/3.83 RPM,7,4,45.7
1.5 RPM/3.83 RPM,7,5,57.89
1.5 RPM/3.83 RPM,7,6,65.93
1.5 RPM/3.83 RPM,7,7,66.63
1.5 RPM/3.83 RPM,7,8,67.87
1.5 RPM/3.83 RPM,7,9,61.26
1.5 RPM/3.83 RPM,8,0,0
1.5 RPM/3.83 RPM,8,1,-22.27
1.5 RPM/3.83 RPM,8,2,-35.93
1.5 RPM/3.83 RPM,8,3,-35.24
1.5 RPM/3.83 RPM,8,4,-29.76
1.5 RPM/3.83 RPM,8,5,-25.17
1.5 RPM/3.83 RPM,8,6,-22.99
1.5 RPM/3.83 RPM,8,7,-18.34
1.5 RPM/3.83 RPM,8,8,-16.61
1.5 RPM/3.83 RPM,8,9,-10.82
1.5 RPM/3.83 RPM,9,0,0
1.5 RPM/3.83 RPM,9,1,-7.62
1.5 RPM/3.83 RPM,9,2,-15.72
1.5 RPM/3.83 RPM,9,3,-17.14
1.5 RPM/3.83 RPM,9,4,-18.76
1.5 RPM/3.83 RPM,9,5,-16.35
1.5 RPM/3.83 RPM,9,6,-18.44
1.5 RPM/3.83 RPM,9,7,-12.3
1.5 RPM/3.83 RPM,9,8,-6.83
1.5 RPM/3.83 RPM,9,9,-6.2
1.5 RPM/3.83 RPM,10,0,0
1.5 RPM/3.83 RPM,10,1,-3.46
1.5 RPM/3.83 RPM,10,2,0.91
1.5 RPM/3.83 RPM,10,3,2.68
1.5 RPM/3.83 RPM,10,4,10.76
1.5 RPM/3.83 RPM,10,5,20.91
1.5 RPM/3.83 RPM,10,6,33.05
1.5 RPM/3.83 RPM,10,7,37.32
1.5 RPM/3.83 RPM,10,8,40.3
1.5 RPM/3.83 RPM,10,9,35.53
1.5 RPM/3.83 RPM,11,0,0
1.5 RPM/3.83 RPM,11,1,-3.17
1.5 RPM/3.83 RPM,11,2,-3.9
1.5 RPM/3.83 RPM,11,3,9.04
1.5 RPM/3.83 RPM,11,4,23.84
1.5 RPM/3.83 RPM,11,5,34
1.5 RPM/3.83 RPM,11,6,41.5
1.5 RPM/3.83 RPM,11,7,43.27
1.5 RPM/3.83 RPM,11,8,45.75
1.5 RPM/3.83 RPM,11,9,46.55
1.5 RPM/3.83 RPM,12,0,0
1.5 RPM/3.83 RPM,12,1,0
1.5 RPM/3.83 RPM,12,2,-2.73
1.5 RPM/3.83 RPM,12,3,-5.19
1.5 RPM/3.83 RPM,12,4,2.49
1.5 RPM/3.83 RPM,12,5,12.26
1.5 RPM/3.83 RPM,12,6,26.57
1.5 RPM/3.83 RPM,12,7,20.32
1.5 RPM/3.83 RPM,12,8,20.22
1.5 RPM/3.83 RPM,12,9,18.43
1.5 RPM/3.83 RPM,13,0,0
1.5 RPM/3.83 RPM,13,1,2.42
1.5 RPM/3.83 RPM,13,2,0
1.5 RPM/3.83 RPM,13,3,-2.7
1.5 RPM/3.83 RPM,13,4,5.6
1.5 RPM/3.83 RPM,13,5,15.33
1.5 RPM/3.83 RPM,13,6,20.86
1.5 RPM/3.83 RPM,13,7,24.03
1.5 RPM/3.83 RPM,13,8,24.55
1.5 RPM/3.83 RPM,13,9,34.32
